country,month,pm25_avg
bangkok,2022-02-01,30.134883720930233
bangkok,2022-03-01,20.4375
bangkok,2022-04-01,28.131944444444443
bangkok,2022-05-01,13.493279569892474
bangkok,2022-06-01,10.466666666666667
bangkok,2022-07-01,9.961021505376344
bangkok,2022-08-01,11.109543010752688
bangkok,2022-09-01,13.275694444444444
bangkok,2022-10-01,23.466397849462364
bangkok,2022-11-01,24.551388888888887
bangkok,2022-12-01,26.983870967741936
bangkok,2023-01-01,31.2979221268015
bangkok,2023-02-01,50.28657971429787
bangkok,2023-03-01,26.33581944143754
bangkok,2023-04-01,32.80138888888889
bangkok,2023-05-01,19.026209677419356
bangkok,2023-06-01,10.087013888888889
bangkok,2023-07-01,9.25241935483871
bangkok,2023-08-01,11.316397849462366
bangkok,2023-09-01,8.273819444444444
bangkok,2023-10-01,16.218951612903226
bangkok,2023-11-01,24.507430555555555
bangkok,2023-12-01,29.118077956989247
bangkok,2024-01-01,37.394312393887944
bangkok,2024-02-01,26.457301119177252
bangkok,2024-03-01,22.930846774193547
bangkok,2024-04-01,24.115555555555556
bangkok,2024-05-01,17.648387096774194
bangkok,2024-06-01,9.974166666666665
bangkok,2024-07-01,8.847916666666666
bangkok,2024-08-01,9.383064516129032
bangkok,2024-09-01,10.28625
bangkok,2024-10-01,12.88978494623656
bangkok,2024-11-01,19.84402777777778
bangkok,2024-12-01,30.843682795698925
bangkok,2025-01-01,44.280913978494624
bangkok,2025-02-01,31.628199404761908
bangkok,2025-03-01,27.780913978494624
bangkok,2025-04-01,15.408525312855517
bangkok,2025-05-01,9.99973989871188
bangkok,2025-06-01,8.557603534771813
bangkok,2025-07-01,11.231142853958131
bangkok,2025-08-01,11.311125911229016
bangkok,2025-09-01,11.81236111111111
bangkok,2025-10-01,17.08052986189838
bangkok,2025-11-01,21.873250798722044
bangkok,2025-12-01,29.220900537634407
bangkok,2026-01-01,35.98521505376344
bangkok,2026-02-01,27.088764880952382
bangkok,2026-03-01,20.0809811827957
bangkok,2026-04-01,19.802777777777777
bangkok,2026-05-01,11.007862903225806
bangkok,2026-06-01,7.470208333333334
bangkok,2026-07-01,7.3403846153846155
canberra,2022-01-01,4.213756720430108
canberra,2022-02-01,4.04719494047619
canberra,2022-03-01,3.619092741935484
canberra,2022-04-01,4.264180555555556
canberra,2022-05-01,5.176054242521026
canberra,2022-06-01,7.960229166666666
canberra,2022-07-01,7.6801276881720435
canberra,2022-08-01,5.966034946236559
canberra,2022-09-01,5.0202430555555555
canberra,2022-10-01,2.90192876344086
canberra,2022-11-01,3.298701388888889
canberra,2022-12-01,4.003891129032258
canberra,2023-01-01,4.141599462365591
canberra,2023-02-01,5.557899172238404
canberra,2023-03-01,4.397509414650613
canberra,2023-04-01,6.4995416666666666
canberra,2023-05-01,11.3680157199626
canberra,2023-06-01,8.446291666666667
canberra,2023-07-01,10.986055107526882
canberra,2023-08-01,8.773837365591397
canberra,2023-09-01,7.1834999999999996
canberra,2023-10-01,5.01203629032258
canberra,2023-11-01,4.647909722222222
canberra,2023-12-01,4.316391129032258
canberra,2024-01-01,4.529690860215054
canberra,2024-02-01,2.5540151425993485
canberra,2024-03-01,4.1595586994018126
canberra,2024-04-01,9.039722222222222
canberra,2024-05-01,9.530826612903226
canberra,2024-06-01,9.312444444444445
canberra,2024-07-01,5.730759408602151
canberra,2024-08-01,8.849516129032258
canberra,2024-09-01,4.802722222222222
canberra,2024-10-01,4.63494623655914
canberra,2024-11-01,5.1454305555555555
canberra,2024-12-01,5.4394959677419354
canberra,2025-01-01,5.4294556451612905
canberra,2025-02-01,5.669977678571429
canberra,2025-03-01,4.364724462365592
canberra,2025-04-01,7.298687500000001
canberra,2025-05-01,9.568293010752688
canberra,2025-06-01,16.473152777777777
canberra,2025-07-01,8.494301075268817
canberra,2025-08-01,6.91991935483871
canberra,2025-09-01,6.623763888888888
canberra,2025-10-01,4.710369623655914
canberra,2025-11-01,4.092675766283525
canberra,2025-12-01,6.271209677419354
canberra,2026-01-01,8.559623655913978
canberra,2026-02-01,5.8746875
canberra,2026-03-01,4.1967338709677415
canberra,2026-04-01,9.713895833333334
canberra,2026-05-01,6.627224462365591
canberra,2026-06-01,9.520375
canberra,2026-07-01,7.152137931034482
hongkong,2022-01-01,29.451008064516127
hongkong,2022-02-01,18.309970238095236
hongkong,2022-03-01,23.405541300097752
hongkong,2022-04-01,19.684583333333332
hongkong,2022-05-01,16.08037634408602
hongkong,2022-06-01,12.79673611111111
hongkong,2022-07-01,15.92231182795699
hongkong,2022-08-01,16.556317204301074
hongkong,2022-09-01,30.61513888888889
hongkong,2022-10-01,22.030309139784944
hongkong,2022-11-01,20.459583333333335
hongkong,2022-12-01,25.180779569892472
hongkong,2023-01-01,26.42743253012048
hongkong,2023-02-01,25.096791127838298
hongkong,2023-03-01,23.459941635996252
hongkong,2023-04-01,24.918888888888887
hongkong,2023-05-01,23.907056451612902
hongkong,2023-06-01,14.578055555555556
hongkong,2023-07-01,15.621505376344086
hongkong,2023-08-01,21.767730363882364
hongkong,2023-09-01,18.36963888888889
hongkong,2023-10-01,23.437177419354835
hongkong,2023-11-01,25.979861111111113
hongkong,2023-12-01,31.223723118279572
hongkong,2024-01-01,33.74071940604198
hongkong,2024-02-01,23.838943623426385
hongkong,2024-03-01,29.551680107526884
hongkong,2024-04-01,21.965208333333333
hongkong,2024-05-01,20.935013440860214
hongkong,2024-06-01,14.941319444444444
hongkong,2024-07-01,14.142271505376344
hongkong,2024-08-01,19.281922043010752
hongkong,2024-09-01,21.44215277777778
hongkong,2024-10-01,25.011290322580646
hongkong,2024-11-01,23.51729166666667
hongkong,2024-12-01,37.41633064516129
hongkong,2025-01-01,31.02775537634409
hongkong,2025-02-01,27.626636904761902
hongkong,2025-03-01,22.043682795698924
hongkong,2025-04-01,29.028611111111108
hongkong,2025-05-01,21.98891129032258
hongkong,2025-06-01,15.359722222222222
hongkong,2025-07-01,20.00793010752688
hongkong,2025-08-01,17.22930107526882
hongkong,2025-09-01,15.658819444444445
hongkong,2025-10-01,21.402620967741935
hongkong,2025-11-01,24.755069444444448
hongkong,2025-12-01,31.673924731182797
hongkong,2026-01-01,30.782728494623655
hongkong,2026-02-01,24.738318452380955
hongkong,2026-03-01,21.96518817204301
hongkong,2026-04-01,22.550069444444443
hongkong,2026-05-01,18.71106983655275
london,2022-01-01,16.611137644474162
london,2022-02-01,11.212053571428571
london,2022-03-01,18.568249701314215
london,2022-04-01,10.54861111111111
london,2022-05-01,10.049395161290322
london,2022-06-01,9.254166666666666
london,2022-07-01,6.577284946236559
london,2022-08-01,9.001344086021506
london,2022-09-01,8.5375
london,2022-10-01,10.46505376344086
london,2022-11-01,10.245138888888889
london,2022-12-01,15.55510752688172
london,2023-01-01,12.70035752688172
london,2023-02-01,26.78669066570568
london,2023-03-01,23.355019361295643
london,2023-04-01,12.511228454909203
london,2023-05-01,11.106854838709678
london,2023-06-01,12.394675925925926
london,2023-07-01,8.740936035290874
london,2023-08-01,9.498289345063538
london,2023-09-01,14.132416003536694
london,2023-10-01,10.251895180798103
london,2023-11-01,9.796794871794871
london,2023-12-01,9.711021505376344
london,2024-01-01,10.496602727432977
london,2024-02-01,10.183324881676809
london,2024-03-01,12.854443390259329
london,2024-04-01,7.085252363018756
london,2024-05-01,10.757621410847218
london,2024-06-01,9.402380952380952
london,2024-07-01,10.195564516129032
london,2024-08-01,10.887096774193548
london,2024-09-01,11.014583333333333
london,2024-10-01,10.912829517863337
london,2024-11-01,15.702455197132617
london,2024-12-01,13.598227305558963
london,2025-01-01,10.319391634980988
london,2025-02-01,10.319391634980988
london,2025-03-01,7.7006308267016745
london,2025-04-01,12.981771185485687
london,2025-05-01,9.956989247311828
london,2025-06-01,9.705409356725145
london,2025-07-01,5.5239278569642405
london,2025-08-01,7.071236559139785
london,2025-09-01,6.303472222222222
london,2025-10-01,8.387158569619151
london,2025-11-01,8.39845730797912
london,2025-12-01,11.237231182795698
london,2026-01-01,13.717511783767861
london,2026-02-01,15.708333333333334
london,2026-03-01,19.25668089816572
london,2026-04-01,8.98053633217993
london,2026-05-01,8.944655281467425
london,2026-06-01,8.479356334195584
philadelphia,2022-01-01,10.848790322580646
philadelphia,2022-02-01,10.998802352266207
philadelphia,2022-03-01,9.333661887694145
philadelphia,2022-04-01,6.515625
philadelphia,2022-05-01,7.877486559139785
philadelphia,2022-06-01,8.327569444444444
philadelphia,2022-07-01,10.55994623655914
philadelphia,2022-08-01,8.94951032882702
philadelphia,2022-09-01,6.901249999999999
philadelphia,2022-10-01,7.9956125487415814
philadelphia,2022-11-01,9.778109483109484
philadelphia,2022-12-01,11.62244623655914
philadelphia,2023-01-01,12.841299627791562
philadelphia,2023-02-01,11.122422678210645
philadelphia,2023-03-01,11.380944468499676
philadelphia,2023-04-01,7.790625
philadelphia,2023-05-01,8.899596774193549
philadelphia,2023-06-01,29.24277777777778
philadelphia,2023-07-01,12.96888440860215
philadelphia,2023-08-01,9.68850806451613
philadelphia,2023-09-01,7.667638888888889
philadelphia,2023-10-01,7.344086021505376
philadelphia,2023-11-01,9.66236111111111
philadelphia,2023-12-01,10.670094086021505
philadelphia,2024-01-01,9.009072580645162
philadelphia,2024-02-01,8.86235632183908
philadelphia,2024-03-01,6.333266129032258
philadelphia,2024-04-01,6.832222222222222
philadelphia,2024-05-01,6.795094086021505
philadelphia,2024-06-01,8.120763888888888
philadelphia,2024-07-01,9.730913978494623
philadelphia,2024-08-01,9.698521505376345
philadelphia,2024-09-01,5.967777777777778
philadelphia,2024-10-01,7.388642473118279
philadelphia,2024-11-01,7.131388888888889
philadelphia,2024-12-01,9.413440860215054
philadelphia,2025-01-01,10.582190860215054
philadelphia,2025-02-01,8.8046875
philadelphia,2025-03-01,6.646236559139785
philadelphia,2025-04-01,6.705
philadelphia,2025-05-01,5.940524193548387
philadelphia,2025-06-01,11.822638888888887
philadelphia,2025-07-01,12.812770853698273
philadelphia,2025-08-01,9.676545698924732
philadelphia,2025-09-01,6.457430555555556
philadelphia,2025-10-01,4.270362903225807
philadelphia,2025-11-01,7.481666666666667
philadelphia,2025-12-01,8.964112903225807
philadelphia,2026-01-01,11.544445733735593
philadelphia,2026-02-01,13.412122623329909
philadelphia,2026-03-01,6.525806451612903
philadelphia,2026-04-01,4.742847222222222
philadelphia,2026-05-01,4.4175403225806456
philadelphia,2026-06-01,6.670483333333332
philadelphia,2026-07-01,10.116206896551724
